Full_ROI_ID,Ground_Truth_Label,Confidence,ca_std,ca_skew,ca_num_peaks,ca_energy,ca_kurtosis,circularity,solidity,area_px,aspect_ratio,extent,eccentricity
20250409_1_ATP_100uM_component_171,Astro,1.0,67.6717570593523,1.6038451444756028,3,6839648.366305614,1.5101872606287658,0.5256481484744825,0.7662337662337663,69.0,0.4375,0.6555555555555556,0.9362586953447212
20250409_1_ATP_100uM_component_178,OPC,1.0,66.73422008653117,2.2339611334837337,3,7417487.203122072,7.163559788938228,1.1604344978565644,0.9534883720930233,41.0,1.0,0.8367346938775511,0.5343333460811409
20250409_1_ATP_100uM_component_181,OPC,1.0,105.36209973575183,1.9959628732838177,5,14842830.76616772,2.5831367062885215,0.5393729402914652,0.8354430379746836,95.0,0.7058823529411765,0.375,0.9620373040553415
20250409_1_ATP_100uM_component_182,Astro,1.0,53.1896210989186,1.5335599818756427,5,5148314.734880059,2.9585796266948527,0.69492467086457,0.8297872340425532,78.0,0.5625,0.65,0.8927473088907535
20250409_1_ATP_100uM_component_188,OPC,1.0,41.7336298538016,1.4733461402122636,6,3158187.514283862,2.1208403393419335,0.9686534547685071,0.9523809523809523,60.0,0.6666666666666666,0.7792207792207793,0.8492448286060414
20250409_1_ATP_100uM_component_189,Astro,1.0,31.06273905583842,1.5424804877958467,8,1481370.0872083209,1.7821198198957404,1.0780241689052943,0.9423076923076923,59.0,1.0,0.765625,0.3868080376009921
20250409_1_ATP_100uM_component_192,OPC,1.0,128.13252563585488,1.0375971009444451,0,28803726.65585384,-0.04208467565008345,1.0460654464067178,0.9347826086956522,43.0,1.25,0.6825396825396826,0.6685036466344746
20250409_1_ATP_100uM_component_193,Oli,1.0,426.8392611887479,6.941106457495826,2,189330986.07368615,50.67757209681892,0.4573099919780088,0.684931506849315,102.0,1.7272727272727273,0.5555555555555556,0.854750118829131
20250409_1_ATP_100uM_component_195,OPC,1.0,110.5795510855905,7.20366832294765,1,12733729.841012588,54.41138199809988,1.125827139189302,0.8387096774193549,59.0,2.0,0.7222222222222222,0.9061272020226019
20250409_1_ATP_100uM_component_196,OPC,1.0,58.59285228621938,2.363941529174776,8,4657795.9013875825,6.033451879025588,0.8665767536865824,0.8392857142857143,47.0,1.375,0.6714285714285714,0.7794337950711208
20250409_1_ATP_100uM_component_199,Astro,1.0,61.746301744566786,2.7284988957712124,7,5213715.366180565,8.237159699371293,1.0969830947828771,0.95,38.0,1.2857142857142858,0.7916666666666666,0.6547747429039376
20250409_1_ATP_100uM_component_200,OPC,1.0,102.53671947633806,1.7408124185643867,9,15264562.888264276,2.3615269396487486,0.8679131967508709,0.9193548387096774,57.0,0.6153846153846154,0.6785714285714286,0.8491095241424407
20250409_1_ATP_100uM_component_202,OPC,1.0,777.1300254647941,1.139818129330422,0,820272640.5268947,-0.6687228702919015,1.1005023051819018,0.9767441860465116,42.0,1.125,0.75,0.7743704492324622
20250409_1_ATP_100uM_component_204,OPC,1.0,43.79732311120583,1.0986592816877394,3,3763246.8225177415,1.110270566612158,1.1454006794618754,0.9714285714285714,34.0,0.7777777777777778,0.7083333333333334,0.7000750437691922
20250409_1_ATP_100uM_component_207,Astro,1.0,96.58608970685613,1.755526997619255,7,14008209.255301291,2.27214624939395,0.7028330310148119,0.819672131147541,58.0,0.6153846153846154,0.5952380952380952,0.9271049929249682
20250409_1_ATP_100uM_component_209,OPC,1.0,71.1862196554392,1.6268334902839194,4,8209264.800586985,2.285492959530309,0.9910774287279808,0.9456521739130435,87.0,0.9230769230769231,0.6590909090909091,0.6246315279041856
20250409_1_ATP_100uM_component_217,OPC,1.0,82.89898678816495,2.050151797730436,7,10468178.024604835,4.468996201485399,0.8541172658744797,0.875,44.0,1.5714285714285714,0.5833333333333334,0.8543139263244568
20250409_1_ATP_100uM_component_220,OPC,1.0,57.937619079635866,1.824394483610268,3,5093185.819168257,2.908045499067935,0.7663037572514328,0.8181818181818182,126.0,0.875,0.6461538461538462,0.6724219659673882
20250409_1_ATP_100uM_component_222,OPC,1.0,26.237808746101972,1.2699144621964618,6,1246703.5506640892,1.6689130408249229,0.851579164724091,0.9154929577464789,66.0,1.3,0.6018518518518519,0.8571057758588404
20250409_1_ATP_100uM_component_228,Astro,1.0,220.36738520108352,4.315764454427702,2,58677196.151549004,21.371647892411875,0.4649754862546646,0.6408450704225352,101.0,1.1333333333333333,0.40625,0.578057102791305
20250409_1_ATP_100uM_component_231,OPC,0.8333,78.58163945377277,1.3304979861938853,2,12757278.784442397,2.3562487382567827,0.9345933003629702,0.9176470588235294,78.0,1.1818181818181819,0.65,0.590657921714279
20250409_1_ATP_100uM_component_233,OPC,1.0,50.720383339279465,2.085545144793653,6,3841944.4831817206,4.794040545115275,1.0181287778766264,0.9620253164556962,76.0,1.1818181818181819,0.6333333333333333,0.5020328905744659
20250409_1_ATP_100uM_component_236,OPC,0.8,91.25342415572545,0.893818686807332,0,13456352.035015363,-0.6693281690946593,1.0531197300295012,0.9444444444444444,35.0,1.125,0.6071428571428571,0.7053846100049563
20250409_1_ATP_100uM_component_237,OPC,1.0,17.842568028304207,1.9733094630388024,6,571657.8023461335,5.631647250126569,0.976134018142262,0.8695652173913043,40.0,0.5833333333333334,0.6060606060606061,0.8884996876282967
20250409_1_ATP_100uM_component_255,OPC,1.0,110.54990102306502,1.869493209195554,6,18028153.267596312,3.5968628614875175,1.347530211131618,1.0,20.0,1.0,0.8,0.638168270197698
20250409_1_ATP_100uM_component_259,Oli,1.0,137.12554345477776,5.797012791545186,2,21425221.515118677,35.67977112610751,1.1106924012725319,0.9459459459459459,35.0,1.0,0.7142857142857143,0.2723757696320851
20250409_1_ATP_100uM_component_261,OPC,1.0,45.72598097792963,1.591871795434422,4,3257939.8745546695,1.6027984556392871,1.0472242640569591,0.9428571428571428,35.0,0.7777777777777778,0.6875,0.8095852975224321
20250409_1_ATP_100uM_component_263,OPC,1.0,160.36157388429902,3.4979452975385694,11,31148597.248128485,11.972195812217262,1.092220794828071,0.8918918918918919,37.0,1.0,0.673469387755102,0.4561055621787538
20250409_1_ATP_100uM_component_264,OPC,1.0,45.6394165602032,2.2231383011952786,9,3079256.1773553295,4.877608185336205,1.5571460217520925,1.0,15.0,1.0,0.8125,0.523556754446835
20250409_1_ATP_100uM_component_277,OPC,1.0,42.59274471895,1.5473287101191802,3,3122244.0640821913,2.69974908690675,1.612290114395414,1.0,10.0,0.8,0.8333333333333334,0.6123724356957946
20250409_1_ATP_100uM_component_279,Oli,1.0,290.62382431750086,2.6010811880123943,11,102358478.26242505,5.548544776606029,1.2083268721137757,1.0,40.0,0.75,0.9142857142857143,0.7033422281262138
20250409_1_ATP_100uM_component_28,OPC,1.0,42.76153444747582,1.1765771620964174,2,3014597.56469047,0.2628100333402834,1.1005023051819018,0.9545454545454546,42.0,1.125,0.75,0.5728963386666233
20250409_1_ATP_100uM_component_280,OPC,1.0,758.1013051941269,4.910357074313432,6,613839360.2665864,24.07236282140548,1.137914400511144,0.9743589743589743,38.0,0.7777777777777778,0.7916666666666666,0.7230168335603182
20250409_1_ATP_100uM_component_281,OPC,0.75,1323.3404141229796,5.867952020859439,3,1837211550.949806,35.84046761420599,0.5004567730427744,0.7702702702702703,177.0,0.6818181818181818,0.5816326530612245,0.8337643205125861
20250409_1_ATP_100uM_component_293,OPC,1.0,144.32650584310247,1.5689327222249279,5,30420824.05972431,1.2748358981364314,0.7061139313189188,0.7619047619047619,76.0,0.5,0.5818181818181818,0.9090221649112847
20250409_1_ATP_100uM_component_294,OPC,1.0,113.39098126649006,1.5943901453336824,6,18956752.35666722,1.9311078805148227,0.3226437217071247,0.6808510638297872,195.0,1.7142857142857142,0.5351170568561873,0.7872460547004897
20250409_1_ATP_100uM_component_3,OPC,1.0,210.68691678460328,0.7692432375184146,1,80667590.6958939,-0.6791368559051536,0.8771758658629762,0.8979591836734694,44.0,1.0,0.6875,0.8015322326171866
20250409_1_ATP_100uM_component_33,Astro,1.0,16.188685621608833,1.3541961707097272,3,433996.710333882,1.5771271838605703,1.0106476583487132,0.9523809523809523,60.0,1.5,0.7792207792207793,0.7715250920748209
20250409_1_ATP_100uM_component_35,OPC,1.0,83.56432393642413,1.6631722645124816,6,10666568.271398092,1.988994484418937,0.9875276950671911,0.9245283018867925,49.0,1.2222222222222223,0.6125,0.6860172228080642
20250409_1_ATP_100uM_component_46,Astro,1.0,31.90168722116658,1.9582389052966251,2,1473107.946454314,4.902047573954829,0.8715129584583665,0.7560975609756098,79.0,0.7,0.5740740740740741,0.8082377164711116
20250409_1_ATP_100uM_component_49,OPC,1.0,26.5152908321366,2.1341978389994387,9,1059326.0749990097,4.774262474334624,0.5022733565910202,0.6704545454545454,59.0,1.2727272727272727,0.45384615384615384,0.7588984997015792
20250409_1_ATP_100uM_component_57,OPC,1.0,24.98761174687404,2.4847711156850925,10,850309.1952355311,6.505981407969365,1.1678595163140693,1.0,39.0,1.0,0.7959183673469388,0.7137939168615876
20250409_1_ATP_100uM_component_63,OPC,1.0,16.310071818784706,1.3155622317783267,6,456181.7896833153,0.9961350678167582,0.7495636799419626,0.8640776699029126,89.0,0.7333333333333333,0.6357142857142857,0.8323888257976853
20250409_1_ATP_100uM_component_81,Astro,1.0,14.904787529429905,1.178195355580663,4,384333.6033652085,0.5237244427594496,0.5632797177882128,0.7634408602150538,75.0,0.5882352941176471,0.4930555555555556,0.9105263593288262
20250409_1_ATP_100uM_component_83,OPC,1.0,63.61407268174562,1.5697490257031248,5,6821178.644613178,1.983431863550127,1.0472242640569591,0.9705882352941176,66.0,1.1,0.7333333333333333,0.6588581430521617
20250409_1_ATP_100uM_component_84,OPC,1.0,42.37759670547879,1.876692981093362,8,3185357.1138490946,3.9720361938026603,0.7710525671237108,0.8705882352941177,74.0,1.7777777777777777,0.6166666666666667,0.871979191135238
20250409_1_ATP_100uM_component_87,Oli,1.0,112.54622571860212,5.837730637010874,2,14516885.813220493,44.57872009488543,0.8924284028103419,0.9295774647887324,66.0,0.6153846153846154,0.7857142857142857,0.8534840954419397
20250409_1_ATP_100uM_component_9,Astro,1.0,49.3571991628161,2.2340338338746917,11,3038395.2367512686,3.9924645606762974,1.000266869492826,0.9333333333333333,42.0,1.25,0.6666666666666666,0.636136264956488
20250409_1_ATP_100uM_component_92,Astro,1.0,1035.0957641627872,5.761214285426299,1,1126795514.802662,33.851995762664146,0.557141283053042,0.7605633802816901,54.0,2.0,0.5142857142857142,0.9441008894628939
20250409_1_ATP_100uM_component_93,OPC,1.0,35.58405054510544,1.8586954544757939,6,1965553.7477195826,3.561377781708166,0.5748692511434321,0.765625,60.0,0.75,0.5568181818181818,0.8943857690108495
20250409_1_ATP_100uM_component_94,Astro,1.0,228.20313237243795,4.658154674612734,5,59455165.12819802,24.003627651223937,0.8852008021443688,0.9481481481481482,128.0,1.5,0.6844919786096256,0.7822676907439119
20250409_1_ATP_100uM_component_95,Astro,1.0,85.51399912084537,2.395062017187765,5,10044109.922237363,5.824005497071493,1.1005023051819018,0.9545454545454546,55.0,0.8888888888888888,0.75,0.7193226718498523
20250409_1_ATP_100uM_component_99,OPC,0.8,106.64768908186419,1.048934333463331,0,19901922.339818984,0.22913990746008484,0.6751434689229129,0.9538461538461539,126.0,0.5,0.5904761904761905,0.927206903527484
20250409_3_Glut_1mM_component_100,OPC,1.0,168.0260169631552,0.627585055983604,0,47462082.90667631,-1.1219055851685191,0.7696127048829099,0.9090909090909091,40.0,0.8,0.5,0.9421473021520296
20250409_3_Glut_1mM_component_102,OPC,1.0,81.26846235261019,2.0693886559364953,6,10162630.503991095,4.224557615392962,1.17056665736022,0.96875,31.0,1.4,0.8857142857142857,0.692039739397115
20250409_3_Glut_1mM_component_107,OPC,1.0,182.56711389282668,0.9501926265256543,1,51794151.52214871,-0.4189693521373834,1.1559981640761263,0.9803921568627451,50.0,1.0,0.78125,0.2938911124714593
20250409_3_Glut_1mM_component_117,OPC,1.0,174.42988807314256,1.1849124529964639,1,49729884.0755303,0.12999653298651115,0.6305859790701074,0.7777777777777778,117.0,1.2727272727272727,0.45454545454545453,0.9125335579928584
20250409_3_Glut_1mM_component_134,OPC,0.8,34.162899365081664,1.4926105746032658,4,1733913.4749375924,1.592584542567078,1.0922207948280716,0.9166666666666666,33.0,0.8571428571428571,0.7857142857142857,0.5962422754295239
20250409_3_Glut_1mM_component_138,OPC,1.0,56.291388829837906,0.9105623132162394,0,5362532.811090423,-0.5631343312280981,0.47583321667744266,0.7490774907749077,200.0,1.0454545454545454,0.40118577075098816,0.9304127666621455
20250409_3_Glut_1mM_component_139,Oli,0.75,3021.910044801412,2.647853537650538,11,10571142063.76805,5.74966609936031,0.49068272378699684,0.6770186335403726,109.0,1.1428571428571428,0.48660714285714285,0.7724147335546743
20250409_3_Glut_1mM_component_144,Oli,1.0,3273.7113854157647,2.2671268596398697,3,12584361627.916746,3.4139623970433357,1.293629002686353,1.0,40.0,1.0,0.8333333333333334,0.4509717590117594
20250409_3_Glut_1mM_component_15,OPC,1.0,497.6139625979552,0.9593967629133113,0,363885543.3466814,-0.8967591643955992,1.1328782007946037,0.9607843137254902,56.0,1.0,0.765625,0.25519740693812937
